iteration,task,success
1,Mine 3 wood,True
2,Craft 1 crafting table,True
6,Craft 1 wooden pickaxe,False
10,Craft 1 wooden pickaxe,False
11,Craft 1 wooden pickaxe,True
15,Mine 3 stone,True
19,Craft 1 stone pickaxe,False
23,Craft 1 stone pickaxe,False
27,Craft 1 stone pickaxe,False
28,Craft 1 stone pickaxe,True
29,Mine 1 iron ore,True
30,Craft 1 furnace,True
32,Smelt 1 iron ingot,True
35,Craft 1 iron pickaxe,True
36,Mine 2 gold ore,True
38,Smelt 2 gold ingots,True
42,Craft 1 golden sword,False
44,Craft 1 golden sword,True

{
    "wood log": 1,
    "crafting table": 2,
    "crafting table": 10,
    "wooden pickaxe": 11,
    "wooden pickaxe": 27,
    "stone pickaxe": 28,
    "stone pickaxe": 29,
    "furnace": 30,
    "furnace": 31,
    "iron ingot": 32,
    "iron ingot": 34,
    "iron pickaxe": 35,
    "gold ore": 36,
    "gold ore": 37,
    "gold ingot": 38,
    "gold ingot": 43,
    "golden sword": 44
}
