iteration,task,success
1,Mine 4 Wood Logs,True
2,Craft 1 Crafting Table,True
3,Craft 8 Sticks,True
5,Craft 1 Wooden Pickaxe,True
6,Mine 15 Cobblestone,True
9,Craft 1 Stone Pickaxe,True
10,Mine 3 Iron Ore,True
11,Craft 1 Furnace,True
12,Smelt 3 Iron Ore,True
13,Craft 1 Iron Pickaxe,True
14,Mine 2 Gold Ore,True
16,Smelt 2 Gold Ore,True
17,Craft 1 Golden Sword,True

{
    "wood log": 1,
    "crafting table": 2,
    "crafting table": 4,
    "wooden pickaxe": 5,
    "wooden pickaxe": 8,
    "stone pickaxe": 9,
    "stone pickaxe": 10,
    "furnace": 11,
    "iron ingot":  12,
    "iron pickaxe": 13,
    "raw gold": 14,
    "raw gold": 15,
    "gold ingot": 16,
    "golden sword": 17
}
